example_id,step,gate,gold_state,best_state,best_wrong_state,gold_logprob,best_wrong_logprob,margin,gold_prob16,local_correct,tie
0,1,s30,0110,1000,1000,-2.906250476837158,-2.5311737060546875,-0.3750767707824707,0.05472469167909622,0,0
0,2,c13,0111,1000,1000,-2.776726245880127,-2.591151714324951,-0.18557453155517578,0.062255714492468944,0,0
0,3,t132,0101,1000,1000,-2.9096126556396484,-2.4740195274353027,-0.4355931282043457,0.054513851899233814,0,0
0,4,x2,0111,1000,1000,-3.0346341133117676,-2.505798101425171,-0.5288360118865967,0.048108940172282684,0,0
0,5,c10,1111,1000,1000,-2.7846341133117676,-2.4452157020568848,-0.3394184112548828,0.061772572004435165,0,0
0,6,t201,1011,0000,0000,-2.808696985244751,-2.538644313812256,-0.2700526714324951,0.060312836297244835,0,0
0,7,s12,1101,1000,1000,-2.810570478439331,-2.6230406761169434,-0.1875298023223877,0.060194561123929645,0,0
0,8,t302,1111,0010,0010,-2.77687931060791,-2.651841640472412,-0.12503767013549805,0.06225529519937235,0,0
1,1,s31,1010,1000,1000,-2.6601977348327637,-2.5351619720458984,-0.12503576278686523,0.06999795625270779,0,0
1,2,c30,1010,1100,1100,-2.9017539024353027,-2.651789665222168,-0.24996423721313477,0.05494268290471132,0,0
1,3,t301,1010,1100,1100,-2.9056596755981445,-2.591240644454956,-0.3144190311431885,0.05472837471756732,0,0
1,4,c01,1110,1100,1100,-2.780688762664795,-2.59122896194458,-0.18945980072021484,0.062013073952468675,0,0
1,5,x2,1100,1000,1000,-2.8165102005004883,-2.5347585678100586,-0.2817516326904297,0.059842289563177525,0,0
1,6,s01,1100,1011,1011,-2.9702343940734863,-2.6518821716308594,-0.31835222244262695,0.05131125510805839,0,0
1,7,c01,1000,1001,1001,-2.716292381286621,-2.591292381286621,-0.125,0.066142796126429,0,0
1,8,c20,1000,1011,1011,-2.90963077545166,-2.534630298614502,-0.3750004768371582,0.054515086327663914,0,0
2,1,c32,1101,1000,1000,-2.9099438190460205,-2.478257656097412,-0.4316861629486084,0.05451509591540774,0,0
2,2,s12,1011,0000,0000,-2.8373401165008545,-2.6556615829467773,-0.18167853355407715,0.058598890012220885,0,0
2,3,x0,0011,1000,1000,-3.03460955619812,-2.5624289512634277,-0.4721806049346924,0.0481088759068662,0,0
2,4,x0,1011,1000,1000,-2.784695625305176,-2.505869150161743,-0.2788264751434326,0.061774393033187894,0,0
2,5,s30,1011,1000,1000,-2.748141288757324,-2.5308351516723633,-0.21730613708496094,0.06407655655704865,0,0
