example_id,step,gate,gold_state,best_state,best_wrong_state,gold_logprob,best_wrong_logprob,margin,gold_prob16,local_correct,tie
0,1,s30,0110,0000,0000,-2.538886070251465,-2.5352797508239746,-0.0036063194274902344,0.07902902491523914,0,0
0,2,c13,0111,0110,0110,-1.6399729251861572,-1.1399729251861572,-0.5,0.19412013586181148,0,0
0,3,t132,0101,0111,0111,-2.9212160110473633,-0.835984468460083,-2.0852315425872803,0.05394035488439714,0,0
0,4,x2,0111,0001,0001,-2.1595723628997803,-2.092916488647461,-0.06665587425231934,0.11555659453850523,0,0
0,5,c10,1111,1111,0111,-1.915459156036377,-2.059760332107544,0.144301176071167,0.14740864229251016,1,0
0,6,t201,1011,1011,1111,-1.64349365234375,-1.8829656839370728,0.23947203159332275,0.19339097372268027,1,0
0,7,s12,1101,1001,1001,-2.511955738067627,-2.026266574859619,-0.4856891632080078,0.08114456803282942,0,0
0,8,t302,1111,1101,1101,-1.6554609537124634,-1.2805068492889404,-0.37495410442352295,0.19106243752277477,0,0
1,1,s31,1010,1010,1000,-2.4261245727539062,-2.5357017517089844,0.10957717895507812,0.08851870964323608,1,0
1,2,c30,1010,1010,0010,-1.0901744365692139,-2.2652320861816406,1.1750576496124268,0.3364516760390105,1,0
1,3,t301,1010,1010,1110,-0.24718037247657776,-2.4913880825042725,2.2442077100276947,0.7818547140576817,1,0
1,4,c01,1110,1010,1010,-1.7682042121887207,-0.4882895350456238,-1.279914677143097,0.17074250494799695,0,0
1,5,x2,1100,1100,1110,-1.301450252532959,-1.31588876247406,0.014438509941101074,0.2723077360749135,1,0
1,6,s01,1100,1100,0100,-0.5718505382537842,-1.587913155555725,1.016062617301941,0.5646444582566135,1,0
1,7,c01,1000,1100,1100,-3.501380205154419,-0.17631877958774567,-3.3250614255666733,0.03015891358548185,0,0
1,8,c20,1000,1000,0000,-0.13867045938968658,-2.2055280208587646,2.066857561469078,0.8706034238406156,1,0
2,1,c32,1101,1010,1010,-2.72066593170166,-2.535158157348633,-0.18550777435302734,0.06589099358647577,0,0
2,2,s12,1011,0101,0101,-2.8311829566955566,-2.2328896522521973,-0.5982933044433594,0.05896761172196779,0,0
2,3,x0,0011,0011,0111,-1.710846185684204,-2.09328556060791,0.38243937492370605,0.18078447665534567,1,0
2,4,x0,1011,0111,0111,-2.319335460662842,-2.179316997528076,-0.14001846313476562,0.09837248620264379,0,0
2,5,s30,1011,0111,0111,-2.557745933532715,-2.2289304733276367,-0.3288154602050781,0.07751136211227118,0,0
2,6,t120,1011,1011,0011,-1.3719984292984009,-2.069359064102173,0.697360634803772,0.2537303732485882,1,0
2,7,c30,0011,1011,1011,-1.5258277654647827,-0.755335807800293,-0.7704919576644897,0.21755449890328316,0,0
2,8,x1,0111,0111,0011,-1.2687605619430542,-1.893750786781311,0.6249902248382568,0.28131429843097094,1,0
3,1,t031,1111,1011,1011,-3.036024808883667,-2.5394203662872314,-0.49660444259643555,0.048096843275596386,0,0
3,2,s01,1111,0111,0111,-2.906092882156372,-2.432985305786133,-0.47310757637023926,0.05472303871553683,0,0
3,3,c21,1011,1011,1101,-1.880510926246643,-2.1262474060058594,0.2457364797592163,0.15261622955657367,1,0
3,4,c30,0011,0011,1011,-1.1438959836959839,-1.3762154579162598,0.23231947422027588,0.31874539970182614,1,0
