example_id,step,gate,gold_state,best_state,best_wrong_state,gold_logprob,best_wrong_logprob,margin,gold_prob16,local_correct,tie
0,1,s30,0110,1000,1000,-3.0004210472106934,-2.562817335128784,-0.4376037120819092,0.049802565148777095,0,0
0,2,c13,0111,1111,1111,-2.90561580657959,-2.595060110092163,-0.31055569648742676,0.054727362971915904,0,0
0,3,t132,0101,1000,1000,-2.941342353820801,-2.5038108825683594,-0.4375314712524414,0.05281094022875295,0,0
0,4,x2,0111,1000,1000,-2.941351890563965,-2.534609794616699,-0.4067420959472656,0.05281187415865048,0,0
0,5,c10,1111,1000,1000,-2.6673316955566406,-2.392399311065674,-0.2749323844909668,0.06945960682755772,0,0
0,6,t201,1011,1000,1000,-2.7519783973693848,-2.534686803817749,-0.21729159355163574,0.06382870054872189,0,0
0,7,s12,1101,1000,1000,-2.810518264770508,-2.534600257873535,-0.27591800689697266,0.060194392455199384,0,0
0,8,t302,1111,1000,1000,-2.7846527099609375,-2.564422845840454,-0.2202298641204834,0.0617727677979608,0,0
1,1,s31,1010,1000,1000,-2.6600797176361084,-2.5350351333618164,-0.125044584274292,0.06999872134470357,0,0
1,2,c30,1010,1100,1100,-2.905653715133667,-2.5912156105041504,-0.3144381046295166,0.0547281698005347,0,0
1,3,t301,1010,0101,0101,-2.9017672538757324,-2.651787281036377,-0.24997997283935547,0.05494199954094955,0,0
1,4,c01,1110,1101,1101,-2.909573793411255,-2.5912325382232666,-0.3183412551879883,0.05451488030196089,0,0
1,5,x2,1100,1000,1000,-2.7481231689453125,-2.5605952739715576,-0.18752789497375488,0.06407451323650605,0,0
1,6,s01,1100,1011,1011,-2.8413329124450684,-2.5913193225860596,-0.2500135898590088,0.05836983433608638,0,0
1,7,c01,1000,1011,1011,-2.8144607543945312,-2.501964807510376,-0.3124959468841553,0.05995957214428326,0,0
1,8,c20,1000,1011,1011,-2.7538609504699707,-2.538517475128174,-0.21534347534179688,0.06370357237511677,0,0
2,1,c32,1101,1000,1000,-2.978184461593628,-2.4214868545532227,-0.5566976070404053,0.05091333858846609,0,0
2,2,s12,1011,1000,1000,-2.8045997619628906,-2.683488607406616,-0.12111115455627441,0.06054736665275981,0,0
2,3,x0,0011,1000,1000,-2.9057183265686035,-2.5306949615478516,-0.37502336502075195,0.05472677851929313,0,0
2,4,x0,1011,1000,1000,-2.8085811138153076,-2.5624804496765137,-0.24610066413879395,0.06031333467048129,0,0
2,5,s30,1011,1000,1000,-2.841315746307373,-2.5913150310516357,-0.2500007152557373,0.058371538990540955,0,0
2,6,t120,1011,1000,1000,-2.909639835357666,-2.5346322059631348,-0.37500762939453125,0.05451551613460207,0,0
2,7,c30,0011,1000,1000,-2.9662859439849854,-2.5912728309631348,-0.3750131130218506,0.051511467525914074,0,0
2,8,x1,0111,1000,1000,-2.9096734523773193,-2.564378023147583,-0.34529542922973633,0.05451145762060253,0,0
3,1,t031,1111,0000,0000,-2.9669694900512695,-2.535148859024048,-0.4318206310272217,0.05150737296566722,0,0
3,2,s01,1111,0000,0000,-2.9018335342407227,-2.56243896484375,-0.33939456939697266,0.05494089472947962,0,0
3,3,c21,1011,1000,1000,-2.727954387664795,-2.3885793685913086,-0.33937501907348633,0.06537471904628958,0,0
3,4,c30,0011,1000,1000,-2.966315269470215,-2.5913021564483643,-0.3750131130218506,0.05151157676885651,0,0
3,5,s10,0011,1000,1000,-3.0990664958953857,-2.5912413597106934,-0.5078251361846924,0.045105488526621836,0,0
3,6,s10,0011,1000,1000,-3.0663652420043945,-2.5346155166625977,-0.5317497253417969,0.04660585324009727,0,0
3,7,x3,0010,1000,1000,-2.909644365310669,-2.5019145011901855,-0.4077298641204834,0.054514746139370525,0,0
3,8,t013,0010,1000,1000,-2.9096732139587402,-2.474091053009033,-0.43558216094970703,0.05451399445104092,0,0
4,1,s03,0011,0000,0000,-2.8418192863464355,-2.591749668121338,-0.25006961822509766,0.058372282930922934,0,0
4,2,s23,0011,1100,1100,-3.0990426540374756,-2.474034309387207,-0.6250083446502686,0.045105817057121335,0,0
4,3,s31,0110,1100,1100,-2.95100998878479,-2.5115549564361572,-0.4394550323486328,0.05230210956387732,0,0
4,4,x1,0010,1000,1000,-2.9067158699035645,-2.560513734817505,-0.34620213508605957,0.05467397819122705,0,0
4,5,x1,0110,1101,1101,-2.941420078277588,-2.534667491912842,-0.4067525863647461,0.05281065696677116,0,0
4,6,c03,0110,1000,1000,-3.0991854667663574,-2.390544891357422,-0.7086405754089355,0.04510361065306277,0,0
4,7,s01,1010,1000,1000,-2.667400598526001,-2.4779508113861084,-0.18944978713989258,0.06945648271373672,0,0
4,8,x3,1011,1001,1001,-2.7461278438568115,-2.6211233139038086,-0.12500452995300293,0.06420344463232106,0,0
5,1,c32,0110,1000,1000,-2.8088574409484863,-2.5309643745422363,-0.27789306640625,0.06030988234749752,0,0
5,2,s23,0101,1111,1111,-2.784503936767578,-2.5950469970703125,-0.18945693969726562,0.06177245839087708,0,0
5,3,s20,0101,1010,1010,-3.042285680770874,-2.4817209243774414,-0.5605647563934326,0.047738189585995766,0,0
5,4,t132,0111,1000,1000,-2.9095685482025146,-2.564328670501709,-0.34523987770080566,0.054513923090756915,0,0
5,5,x1,0011,1000,1000,-3.0683133602142334,-2.445230722427368,-0.6230826377868652,0.04651493548964653,0,0
5,6,x2,0001,1000,1000,-2.9740962982177734,-2.5663681030273438,-0.4077281951904297,0.051113173105203746,0,0
5,7,t320,0001,1010,1010,-2.970151424407959,-2.5345797538757324,-0.43557167053222656,0.051312041652895705,0,0
5,8,s10,0001,1010,1010,-3.034550428390503,-2.534543752670288,-0.5000066757202148,0.04810940065139841,0,0
6,1,t230,1101,1000,1000,-2.910159111022949,-2.535130739212036,-0.3750283718109131,0.05451519878901409,0,0
6,2,t031,1001,1010,1010,-2.683500289916992,-2.5912156105041504,-0.0922846794128418,0.06834283884847864,0,0
6,3,x0,0001,1010,1010,-2.810441493988037,-2.6210036277770996,-0.1894378662109375,0.060195195966903335,0,0
6,4,t230,0001,1010,1010,-3.0345842838287354,-2.503818988800049,-0.5307652950286865,0.048109367269211514,0,0
6,5,c32,0011,1010,1010,-3.007702112197876,-2.5345659255981445,-0.47313618659973145,0.04941943265234379,0,0
6,6,t013,0011,1000,1000,-3.06827712059021,-2.4509971141815186,-0.6172800064086914,0.04651425925925866,0,0
6,7,c20,1011,1000,1000,-2.7846150398254395,-2.505800247192383,-0.27881479263305664,0.06177565789884983,0,0
6,8,x1,1111,1100,1100,-2.716254234313965,-2.501880168914795,-0.21437406539916992,0.06614290031310377,0,0
7,1,t102,0110,0000,0000,-2.935880661010742,-2.5915303230285645,-0.34435033798217773,0.05311891825943556,0,0
7,2,c02,0110,1010,1010,-3.0306458473205566,-2.6209747791290283,-0.4096710681915283,0.04829617982497398,0,0
7,3,x2,0100,1000,1000,-2.94132137298584,-2.534562110900879,-0.40675926208496094,0.052811131337877036,0,0
7,4,c30,0100,1001,1001,-3.1674015522003174,-2.5643539428710938,-0.6030476093292236,0.04212577945705547,0,0
7,5,x0,1100,1010,1010,-2.8528990745544434,-2.4778943061828613,-0.37500476837158203,0.05769296982085904,0,0
7,6,x3,1101,1001,1001,-2.7846574783325195,-2.5346527099609375,-0.25000476837158203,0.06177360644508276,0,0
7,7,x2,1111,1010,1010,-2.784660577774048,-2.5346384048461914,-0.25002217292785645,0.06177251238261672,0,0
7,8,t120,0111,1000,1000,-3.034696102142334,-2.5038700103759766,-0.5308260917663574,0.04810728482396913,0,0
8,1,c32,0101,1000,1000,-2.841503620147705,-2.4781641960144043,-0.3633394241333008,0.058370054701944105,0,0
8,2,t123,0101,1000,1000,-3.0345137119293213,-2.5345072746276855,-0.5000064373016357,0.048109210849737044,0,0
8,3,x1,0001,1111,1111,-2.8768012523651123,-2.5345458984375,-0.3422553539276123,0.05632838756573923,0,0
8,4,s30,1000,1010,1010,-2.6365115642547607,-2.511528730392456,-0.12498283386230469,0.0716305585732126,0,0
8,5,t103,1000,1111,1111,-2.810481548309326,-2.591259241104126,-0.2192223072052002,0.06019453224815388,0,0
8,6,c13,1000,1111,1111,-2.9662322998046875,-2.6210293769836426,-0.3452029228210449,0.051511999181944663,0,0
8,7,t301,1000,1111,1111,-2.9096038341522217,-2.5912647247314453,-0.31833910942077637,0.05451476170410762,0,0
8,8,x1,1100,1001,1001,-2.7440476417541504,-2.681509494781494,-0.06253814697265625,0.06432689116309193,0,0
9,1,c23,1100,0100,0100,-2.7772107124328613,-2.5955493450164795,-0.18166136741638184,0.06225628416864927,0,0
9,2,s32,1100,1101,1101,-2.8451027870178223,-2.5951027870178223,-0.25,0.05814481871469143,0,0
9,3,s01,1100,1111,1111,-2.909545660018921,-2.56239914894104,-0.34714651107788086,0.05451582786799206,0,0
9,4,s03,0101,1001,1001,-2.841291904449463,-2.591266632080078,-0.25002527236938477,0.058369500997686896,0,0
9,5,x2,0111,1000,1000,-2.9741196632385254,-2.477954626083374,-0.49616503715515137,0.05111007028724235,0,0
9,6,t013,0111,1000,1000,-3.030886650085449,-2.501997947692871,-0.5288887023925781,0.04829422638349702,0,0
9,7,s03,1110,1000,1000,-2.667393684387207,-2.4212608337402344,-0.24613285064697266,0.06945916095347987,0,0
9,8,x3,1111,1001,1001,-2.7242431640625,-2.5039758682250977,-0.22026729583740234,0.06562923920807336,0,0
10,1,t210,1101,1000,1000,-2.91778564453125,-2.474430561065674,-0.44335508346557617,0.05409218870921722,0,0
10,2,s30,1101,1000,1000,-2.77675199508667,-2.6209869384765625,-0.15576505661010742,0.0622571414661674,0,0
10,3,c31,1001,1100,1100,-2.6556639671325684,-2.5951218605041504,-0.06054210662841797,0.07027217636266496,0,0
